"device","cpu","mcs","txpower","mean_load","mean_throughput","mean_goodput","mean_snr","mean_q7","mean_q11","mean_q25","mean_bler","mean_bsr","mean_turbo_its","mean_dectime","mean_overflows","mean_underflows","mean_lates"
"I7-5600U @ 2.60GHz",0.1,0,-16,2.3,0.11950528751852,0.118107372083067,2.42658235342812,1,1,1,0.748843333333333,135109.64229838,5.10076871339583,657.307845367635,0.31200720183771,0.273856087415409,16.3044535502163
"I7-5600U @ 2.60GHz",0.1,0,-16,5.75,0.137756038863589,0.136509779831344,1.99055125498475,1,1,1,0.588053333333333,91077.2193381331,2.64872142225591,1342.03255238084,0.271851711506884,0.249918800411411,15.0404103285877
"I7-5600U @ 2.60GHz",0.1,0,-16,11.5,0.156095723511526,0.155047290925375,2.19003893617021,1,1,1,0.6527415,106769.450212766,3.25630212765957,318.125744680851,0.298936170212766,0.193191489361702,16.5431914893617
"I7-5600U @ 2.60GHz",0.1,0,-16,17.25,0.163306245696617,0.160104120668553,2.72596255760369,1,1,1,1,102535.594758065,3.20682891705069,1352.3317173557,0.262096774193548,0.262960829493088,14.5766129032258
"I7-5600U @ 2.60GHz",0.1,0,-16,23,0.121320190449248,0.120228136204128,1.56495161290323,1,1,1,1,82136.2741935484,2.46548387096774,1205.00400075806,0.274193548387097,0.258064516129032,16.3548387096774
"I7-5600U @ 2.60GHz",0.1,0,-16,28.75,0.128436539407965,0.122341397026205,2.54796380090498,1,1,1,1,87367.9196832579,3.41483597285068,2316.05351320814,0.269230769230769,0.298642533936652,14.7098416289593
"I7-5600U @ 2.60GHz",0.1,0,-15,2.3,0.165066237588735,0.157368233747985,4.18107692307692,1,1,1,0.669541,98479.5961538462,4.28096153846154,1543.68704926923,0.288461538461538,0.153846153846154,16.4615384615385
"I7-5600U @ 2.60GHz",0.1,0,-15,5.75,0.179193296533006,0.177760394907214,2.87853191489362,1,1,1,0.667003,107106,3.34382978723404,325.957446808511,0.297872340425532,0.127659574468085,16.3404255319149
"I7-5600U @ 2.60GHz",0.1,0,-15,11.5,0.202149814141476,0.200833385704833,3.368125,1,1,1,0.65288,125060.333333333,3.31166666666667,4835.00415039583,0.270833333333333,0.229166666666667,14.5
"I7-5600U @ 2.60GHz",0.1,0,-15,17.25,0.185966177289191,0.184404961472224,3.08576,1,1,1,0.63635,113077.9,3.2036,2771.99767576,0.28,0.2,15.8
"I7-5600U @ 2.60GHz",0.1,0,-15,23,0.194819653964667,0.19318190090874,3.07290909090909,1,1,1,1,119301.545454545,3.46022727272727,1352.82270952273,0.295454545454545,0.136363636363636,16.2045454545455
"I7-5600U @ 2.60GHz",0.1,0,-15,28.75,0.037090865673581,0.0342162995238981,2.34921176470588,1,1,1,1,206492.058823529,7.96294117647059,2553.22945770588,0.323529411764706,0.294117647058824,18.8823529411765
"I7-5600U @ 2.60GHz",0.1,0,-14,2.3,0.250495261523947,0.248854424319039,4.32148979591837,1,1,1,0.682898,137740.571428571,4.15897959183673,4632.83015783673,0.306122448979592,0.183673469387755,16.4285714285714
"I7-5600U @ 2.60GHz",0.1,0,-14,5.75,0.173198724317465,0.171728221778258,3.16654901960784,1,1,1,0.630198,103562.549019608,3.19294117647059,1526.50980392157,0.274509803921569,0.137254901960784,15.5490196078431
